700000,2380,6329,1/27/2022
700001,2202,6616,1/11/2022
700002,2774,6597,1/18/2022
700003,2014,6104,1/18/2022
700004,2981,6884,1/5/2022
700005,2907,6801,1/15/2022
700006,2361,6907,1/14/2022
700007,2262,6335,1/9/2022
700008,2102,6609,1/20/2022
700009,2572,6716,1/27/2022
700010,2922,6018,1/14/2022
700011,2538,6998,1/26/2022
700012,2445,6009,1/28/2022
700013,2641,6403,1/16/2022
700014,2890,6988,1/27/2022
700015,2390,6316,1/15/2022
700016,2359,6485,1/10/2022
700017,2511,6864,1/13/2022
700018,2490,6909,1/14/2022
700019,2203,6410,1/29/2022
700020,2448,6265,1/19/2022
700021,2413,6308,1/20/2022
700022,2523,6940,1/9/2022
700023,2523,6726,1/4/2022
700024,2094,6153,1/18/2022
700025,2468,6925,1/15/2022
700026,2782,6157,1/19/2022
700027,2420,6459,1/16/2022
700028,2715,6917,1/23/2022
700029,2144,6106,1/12/2022
700030,2130,6830,1/7/2022
700031,2466,6144,1/17/2022
700032,2930,6103,1/23/2022
700033,2895,6726,1/20/2022
700034,2344,6360,1/15/2022
700035,2703,6316,1/1/2022
700036,2641,6957,1/18/2022
700037,2354,6835,1/9/2022
700038,2652,6953,1/28/2022
700039,2714,6379,1/27/2022
700040,2729,6209,1/3/2022
700041,2028,6940,1/11/2022
700042,2549,6668,1/24/2022
700043,2611,6773,1/8/2022
700044,2976,6071,1/25/2022
700045,2920,6119,1/20/2022
700046,2528,6793,1/15/2022
700047,2933,6638,1/10/2022
700048,2515,6593,1/25/2022
700049,2979,6347,1/24/2022
700050,2955,6867,1/20/2022
700051,2587,6931,1/12/2022
700052,2091,6453,1/26/2022
700053,2358,6056,1/13/2022
700054,2078,6775,1/13/2022
700055,2457,6491,1/26/2022
700056,2946,6573,1/11/2022
700057,2472,6698,1/20/2022
700058,2492,6495,1/17/2022
700059,2353,6251,1/6/2022
700060,2384,6269,1/24/2022
700061,2624,6474,1/19/2022
700062,2069,6556,1/20/2022
700063,2610,6297,1/25/2022
700064,2695,6277,1/17/2022
700065,2325,6283,1/23/2022
700066,2685,6292,1/29/2022
700067,2422,6585,1/19/2022
700068,2052,6199,1/24/2022
700069,2283,6068,1/17/2022
700070,2862,6161,1/2/2022
700071,2113,6474,1/28/2022
700072,2133,6407,1/28/2022
700073,2222,6511,1/10/2022
700074,2756,6852,1/10/2022
700075,2933,6644,1/25/2022
700076,2719,6980,1/3/2022
700077,2677,6075,1/12/2022
700078,2125,6025,1/24/2022
700079,2796,6214,1/20/2022
700080,2614,6995,1/23/2022
700081,2579,6511,1/20/2022
700082,2622,6024,1/28/2022
700083,2701,6764,1/29/2022
700084,2168,6931,1/3/2022
700085,2371,6960,1/8/2022
700086,2580,6685,1/3/2022
700087,2294,6848,1/4/2022
700088,2680,6588,1/2/2022
700089,2379,6612,1/22/2022
700090,2218,6912,1/4/2022
700091,2311,6527,1/23/2022
700092,2879,6768,1/22/2022
700093,2964,6729,1/29/2022
700094,2170,6006,1/24/2022
700095,2679,6286,1/30/2022
700096,2744,6403,1/19/2022
700097,2200,6861,1/13/2022
700098,2454,6417,1/28/2022
700099,2065,6578,1/29/2022
700100,2398,6259,1/17/2022
700101,2106,6621,1/29/2022
700102,2608,6456,1/23/2022
700103,2572,6600,1/26/2022
700104,2024,6544,1/26/2022
700105,2392,6417,1/27/2022
700106,2784,6770,1/10/2022
700107,2413,6485,1/5/2022
700108,2643,6835,1/6/2022
700109,2044,6522,1/20/2022
700110,2130,6292,1/28/2022
700111,2478,6877,1/21/2022
700112,2573,6357,1/2/2022
700113,2374,6752,1/16/2022
700114,2524,6521,1/16/2022
700115,2827,6131,1/13/2022
700116,2598,6736,1/18/2022
700117,2357,6174,1/12/2022
700118,2189,6251,1/13/2022
700119,2220,6348,1/20/2022
700120,2862,6752,1/1/2022
700121,2047,6761,1/24/2022
700122,2921,6991,1/18/2022
700123,2141,6992,1/6/2022
700124,2612,6436,1/22/2022
700125,2878,6454,1/14/2022
700126,2557,6182,1/13/2022
700127,2347,6375,1/21/2022
700128,2461,6932,1/29/2022
700129,2267,6547,1/23/2022
700130,2997,6593,1/20/2022
700131,2942,6266,1/10/2022
700132,2321,6717,1/10/2022
700133,2425,6834,1/17/2022
700134,2215,6290,1/15/2022
700135,2428,6379,1/5/2022
700136,2914,6993,1/15/2022
700137,2492,6492,1/10/2022
700138,2225,6942,1/12/2022
700139,2851,6185,1/21/2022
700140,2359,6386,1/21/2022
700141,2251,6853,1/12/2022
700142,2450,6127,1/10/2022
700143,2717,6348,1/4/2022
700144,2197,6512,1/23/2022
700145,2848,6876,1/16/2022
700146,2454,6340,1/16/2022
700147,2868,6803,1/1/2022
700148,2046,6715,1/20/2022
700149,2642,6565,1/13/2022
700150,2102,6830,1/29/2022
700151,2390,6583,1/4/2022
700152,2962,6790,1/2/2022
700153,2087,6033,1/1/2022
700154,2764,6613,1/30/2022
700155,2605,6443,1/1/2022
700156,2008,6738,1/25/2022
700157,2404,6625,1/19/2022
700158,2516,6552,1/11/2022
700159,2647,6602,1/30/2022
700160,2388,6564,1/12/2022
700161,2491,6487,1/14/2022
700162,2087,6012,1/24/2022
700163,2882,6589,1/1/2022
700164,2749,6057,1/17/2022
700165,2438,6593,1/30/2022
700166,2780,6910,1/11/2022
700167,2416,6035,1/11/2022
700168,2490,6987,1/13/2022
700169,2515,6441,1/24/2022
700170,2385,6695,1/13/2022
700171,2353,6914,1/20/2022
700172,2134,6249,1/9/2022
700173,2078,6369,1/23/2022
700174,2991,6776,1/6/2022
700175,2688,6666,1/16/2022
700176,2390,6308,1/13/2022
700177,2289,6815,1/27/2022
700178,2333,6126,1/19/2022
700179,2895,6230,1/28/2022
700180,2018,6824,1/18/2022
700181,2830,6869,1/5/2022
700182,2540,6731,1/23/2022
700183,2765,6103,1/6/2022
700184,2715,6513,1/17/2022
700185,2345,6099,1/24/2022
700186,2150,6270,1/29/2022
700187,2083,6966,1/8/2022
700188,2196,6204,1/5/2022
700189,2961,6297,1/4/2022
700190,2926,6273,1/11/2022
700191,2335,6677,1/11/2022
700192,2705,6116,1/18/2022
700193,2017,6771,1/2/2022
700194,2452,6702,1/17/2022
700195,2080,6926,1/7/2022
700196,2760,6444,1/9/2022
700197,2120,6504,1/12/2022
700198,2242,6502,1/14/2022
700199,2036,6894,1/29/2022
700200,2675,6145,1/18/2022
700201,2186,6383,1/11/2022
700202,2187,6163,1/4/2022
700203,2820,6847,1/27/2022
700204,2078,6909,1/18/2022
700205,2681,6289,1/29/2022
700206,2200,6645,1/16/2022
700207,2281,6630,1/11/2022
700208,2915,6756,1/25/2022
700209,2317,6946,1/4/2022
700210,2494,6823,1/13/2022
700211,2259,6250,1/19/2022
700212,2329,6916,1/2/2022
700213,2270,6530,1/19/2022
700214,2306,6025,1/12/2022
700215,2132,6497,1/30/2022
700216,2397,6581,1/27/2022
700217,2991,6311,1/21/2022
700218,2895,6095,1/23/2022
700219,2008,6817,1/17/2022
700220,2118,6508,1/27/2022
700221,2905,6969,1/17/2022
700222,2189,6972,1/21/2022
700223,2982,6251,1/12/2022
700224,2628,6551,1/2/2022
700225,2023,6717,1/24/2022
700226,2256,6230,1/14/2022
700227,2340,6731,1/29/2022
700228,2551,6044,1/20/2022
700229,2648,6386,1/26/2022
700230,2750,6408,1/19/2022
700231,2687,6702,1/11/2022
700232,2624,6808,1/5/2022
700233,2569,6037,1/21/2022
700234,2566,6674,1/8/2022
700235,2204,6257,1/30/2022
700236,2090,6620,1/3/2022
700237,2452,6979,1/7/2022
700238,2568,6247,1/30/2022
700239,2097,6347,1/3/2022
700240,2640,6473,1/5/2022
700241,2211,6394,1/14/2022
700242,2569,6369,1/9/2022
700243,2456,6115,1/1/2022
700244,2211,6577,1/24/2022
700245,2447,6375,1/3/2022
700246,2446,6967,1/16/2022
700247,2089,6860,1/8/2022
700248,2683,6277,1/30/2022
700249,2135,6892,1/22/2022
700250,2942,6419,1/16/2022
700251,2811,6913,1/19/2022
700252,2815,6423,1/16/2022
700253,2642,6605,1/22/2022
700254,2942,6904,1/2/2022
700255,2962,6116,1/8/2022
700256,2844,6769,1/14/2022
700257,2503,6111,1/7/2022
700258,2513,6448,1/28/2022
700259,2119,6828,1/24/2022
700260,2268,6138,1/8/2022
700261,2409,6574,1/10/2022
700262,2232,6451,1/15/2022
700263,2171,6672,1/7/2022
700264,2474,6532,1/26/2022
700265,2874,6951,1/26/2022
700266,2799,6064,1/7/2022
700267,2406,6671,1/13/2022
700268,2403,6258,1/13/2022
700269,2785,6125,1/28/2022
700270,2083,6496,1/11/2022
700271,2374,6579,1/11/2022
700272,2913,6187,1/14/2022
